iata,name,location,country
HIR,Honiara International Airport,"Honiara, Guadalcanal Island",Solomon Islands
IGT,Magas Airport,"Magas, Republic of Ingushetia",Russia
JFR,Paamiut Airport,Paamiut,Greenland
KEN,Kenema Airport,Kenema,Sierra Leone
KRW,Turkmenbashi Airport,"Türkmenba?y, Turkmenistan",Turkmenistan
LFO,Kelafo Airport (Kelafo Airport),Kelafo,Ethiopia
LTW,St. Mary's County Regional Airport,"Leonardtown, Maryland",United States
MGW,Morgantown Municipal Airport (Walter L.Bill Hart Field),"Morgantown, West Virginia",United States
MSB,Marigot Seaplane Base,St.Martin,Guadeloupe
NIQ,Niaqornat Heliport,Niaqornat,Greenland
OST,Ostend-Bruges International Airport,Flanders,Belgium
PPT,Faa'a International Airport,"Papeete, Tahiti",French Polynesia
RIW,Riverton Regional Airport,"Riverton, Wyoming",United States
SIR,Sion Airport,Sion,Switzerland
SZB,Sultan Abdul Aziz Shah Airport,Subang,Malaysia
TTQ,Tortuguero Airport,Tortuguero,Costa Rica
VPZ,Porter County Regional Airport,"Valparaiso, Indiana",United States
YAA,Anahim Lake Airport,"Anahim Lake, British Columbia",Canada
YOJ,High Level Airport,"High Level, Alberta",Canada
ZHY,Zhongwei Xiangshan Airport,"Zhongwei, Ningxia",China
ACB,Antrim County Airport,"Bellaire, Michigan",United States
AOP,All airports,Andoas,Peru
BBU,"Bucharest ""Aurel Vlaicu"" Airport (Baneasa Airport)",Bucharest,Romania
BMF,Bakouma Airport,Bakouma,Central African Republic
BXT,Bontang Airport,Bontang,Indonesia
CJD,Candilejas Airport,Candilejas,Colombia
CVE,Coveñas Airport,Coveñas,Colombia
DOP,Dolpa Airport,Dolpa,Nepal
EPH,Ephrata Municipal Airport,"Ephrata, Washington",United States
FRN,Bryant Army Heliport / Bryant AAF,"Fort Richardson, Anchorage, Alaska",United States
GON,Groton-New London Airport,"Groton, Connecticut",United States
HIS,Hayman Island Resort Seaplace Base,"Hayman Island, Queensland",Australia
IGU,Foz do Iguaçu International Airport,"Foz do Iguaçu, Paraná",Brazil
JGA,Jamnagar Airport,"Jamnagar, Gujurat",India
KEO,Odienné Airport,Odienné,Côte d'Ivoire
KRX,Kar Kar Airport,Kar Kar,Papua New Guinea
LFP,Lakefield Airport,"Lakefield, Queensland",Australia
LTX,Cotopaxi International Airport,Latacunga,Ecuador
MGX,Moabi Airport,Moabi,Gabon
MSC,Falcon Field Airport,"Mesa, Arizona",United States
NIS,Simberi Airport,Simberi Island,Papua New Guinea
OSU,Ohio State University Airport,"Columbus, Ohio",United States
PPV, PORT Protection Seaplane Base,"PORT Protection, Alaska",United States
RIX,Riga International Airport,Riga,Latvia
SIT,Sitka Rocky Gutierrez Airport,"Sitka, Alaska",United States
SZD,Sheffield City Airport,"Sheffield, England",United Kingdom
TTS,Tsaratanana Airport,Tsaratanana,Madagascar
VQS,Antonio Rivera Rodriguez Airport,"Vieques, Puerto Rico",United States
YAB,Arctic Bay Airport,"Arctic Bay, Nunavut",Canada
YOL,Yola Airport,Yola,Nigeria
ZIC,Victoria Airport,"Victoria, Araucanía",Chile
ACC,Kotoka International Airport,Accra,Ghana
AOQ,Aappilattoq Heliport (Qaasuitsup),"Aappilattoq, Qaasuitsup",Greenland
BBV,Bereby Airport,Bereby,Côte d'Ivoire
BMG,Monroe County Airport,"Bloomington, Indiana",United States
BXU,Butuan Airport,Butuan City,Philippines
CJF,Coondewanna Airport,"Coondewanna, Western Australia",Australia
CVF,Courchevel Aerodrome,Courchevel,France
DOR,Dori Airport,Dori,Burkina Faso
EPI,Épi Island Airport,"Épi Island, Shéfa",Vanuatu
FRO,Florø Airport,"Florø, Sogn og Fjordane",Norway
GOO,Goondiwindi Airport,"Goondiwindi, Queensland",Australia
HIT,Hivaro Airport,Hivaro,Papua New Guinea
IHA,Niihama Airport,"Niihama, Shikoku",Japan
JGB,Jagdalpur Airport,Jagdalpur,India
KEP,Nepalgunj Airport (Mahendra Airport),Nepalgunj,Nepal
KRY,Karamay Airport,"Karamay, Xinjiang",China
LFR,La Fria Airport,La Fria,Venezuela
LUA,Lukla Airport (Tenzing-Hillary Airport),Lukla,Nepal
MGY,Dayton - Wright Brothers Airport,"Dayton, Ohio",United States
MSD,Mount Pleasant Airport,"Mount Pleasant, Utah",United States
NIX,Nioro Airport,Nioro,Mali
OSX,Kosciusko-Attala County Airport,"Kosciusko, Mississippi",United States
PQI,Northern Maine Regional Airport AT Presque Isle,"Presque Isle, Maine",United States
RJH,Shah Makhdum Airport,Rajshahi,Bangladesh
SIU,Siuna Airport,Siuna,Nicaragua
SZF,Carsamba Airport,Samsun,Turkey
TTT,Taitung Airport,"Taitung, Taiwan",China
VRA,Juan Gualberto Gómez Airport,"Varadero, Matanzas Province",Cuba
YAC,Cat Lake Airport,"Cat Lake, Ontario",Canada
YOO,Oshawa Airport,"Oshawa, Ontario",Canada
ZIG,Ziguinchor Airport,Ziguinchor,Senegal
ACD,Alcides Fernández Airport,Acandí,Colombia
AOR,Sultan Abdul Halim Airport,"Alor Star, Kedah",Malaysia
BBW,Broken Bow Municipal Airport,"Broken Bow, Nebraska",United States
BMH,Bomai Airport,Bomai,Papua New Guinea
BXV,Breiðdalsvík Airport,Breiðdalsvík,Iceland
CJH,Chilko Lake (Tsylos Park Lodge) Airport,"Chilko Lake, British Columbia",Canada
CVG,Cincinnati/Northern Kentucky International Airport,"Hebron, Kentucky",United States
DOS,Dios Airport,Dios,Papua New Guinea
EPK,Episkopi Airport,Episkopi,Cyprus
FRQ,Feramin Airport,Feramin,Papua New Guinea
GOP,Gorakhpur Airport,Gorakhpur,India
HIW,Hiroshima West Airport,"Hiroshima, Honsh?",Japan
IHN,Qishn Airport,Qishn,Yemen
JGC,Grand Canyon Heliport,"Grand Canyon, Arizona",United States
KEQ,Kebar Airport,Kebar,Indonesia
KRZ,Kiri Airport (Basango Mboliasa Airport),Kiri,Democratic Republic of the Congo
LFT,Lafayette Regional Airport,"Lafayette, Louisiana",United States
LUB,Lumid Pau Airport,Lumid Pau,Guyana
MGZ,Myeik Airport,Myeik,Myanmar (Burma)
MSE,Kent International Airport,"Manston, Kent, England",United Kingdom
NJC,Nizhnevartovsk Airport,Nizhnevartovsk,Russia
OSW,Orsk Airport,"Orsk, Orenburg Oblast",Russia
PQQ,PORT Macquarie Airport,"PORT Macquarie, New South Wales",Australia
RJK,Rijeka Airport,Rijeka,Croatia
SIV,Sullivan County Airport,"Sullivan, Indiana",United States
SZG,Salzburg Airport,Salzburg,Austria
TTU,Sania Ramel Airport,Tétouan,Morocco
VRB,Vero Beach Municipal Airport,"Vero Beach, Florida",United States
YAD,Moose Lake Airport,"Moose Lake, Manitoba",Canada
YOP,Rainbow Lake Airport,"Rainbow Lake, Alberta",Canada
ZIH,Ixtapa-Zihuatanejo International Airport,"Zihuatanejo, Guerrero",Mexico
ACE,Lanzarote Airport,"Arrecife, Canary Islands",Spain
AOS,Amook Bay Seaplane Base,"Amook Bay, Alaska",United States
BBX,Wings Field,"Blue Bell, Pennsylvania",United States
BMI,Central Illinois Regional Airport,"Bloomington, Illinois",United States
BXX,Borama Airport,Borama,Somalia
CJJ,Cheong Ju International Airport,Cheong ju,South Korea
CVH,Caviahue Airport,"Caviahue, Neuquén",Argentina
DOT,Don Torcuato International Airport,Buenos Aires,Argentina
EPL,Épinal - Mirecourt Airport,"Juvaincourt, Vosges",France
FRR,Front Royal-Warren County Airport,"Front Royal, Virginia",United States
GOQ,Golmud Airport,"Golmud, Qinghai",China
HJJ,Zhijiang Airport,"Zhijiang, Hubei",China
IHO,Ihosy Airport,Ihosy,Madagascar
JGE,Geoje Airport,Geoje,South Korea
KER,Kerman Airport,Kerman,Iran
KSA,Kosrae International Airport,Kosrae,Federated States of Micronesia
LFW,Lomé-Tokoin Airport,Lomé,Togo
LUC,Laucala Island Airport,Laucala Island,Fiji
MHA,Mahdia Airport,Mahdia,Guyana
MSF,Mount Swan Airport,"Mount Swan, Northern Territory",Australia
NJF,Al Najaf International Airport,Al Najaf,Iraq
OSY,"Namsos Airport, Høknesøra",Namsos,Norway
PQS,Pilot Station Airport,"Pilot Station, Alaska",United States
RJL,Logroño-Agoncillo Airport,Logroño,Spain
SIY,Siskiyou County Airport,"Montague, California",United States
SZI,Zaysan Airport,Zaysan,Kazakhstan
TUA,Teniente Coronel Luis a Mantilla International Airport,Tulcán,Ecuador
VRC,Virac Airport,"Virac, Catanduanes",Philippines
YAG,Fort Frances Municipal Airport,"Fort Frances, Ontario",Canada
YOS,Owen Sound/Billy Bishop Regional Airport,"Owen Sound, Ontario",Canada
ZJG,Jenpeg Airport,"Jenpeg, Manitoba",Canada
ACH,St. Gallen Altenrhein Airport,Altenrhein,Switzerland
AOT,Corrado Gex Airport,Aosta,Italy
BBY,Bambari Airport,Bambari,Central African Republic
BMJ,Baramita Airport,Baramita,Guyana
BXZ,Bunsil Airport,Bunsil,Papua New Guinea
CJL,Chitral Airport,Chitral,Pakistan
CVI,Caleta Olivia Airport,"Caleta Olivia, Santa Cruz",Argentina
DOU,Dourados Airport,"Dourados, Minas Gerais",Brazil
EPN,Epéna Airport,Epéna,Republic of Congo
FRS,Mundo Maya International Airport,"Flores, El Petén",Guatemala
GOR,Gore Airport,Gore,Ethiopia
HJR,Khajuraho Airport,Khajuraho,India
IHU,Ihu Airport,Ihu,Papua New Guinea
JGL,Galleria Heliport,"Marietta, Georgia",United States
KES,Kelsey Airport,"Kelsey, Manitoba",Canada
KSB,Kasanombe Airport,Kasanombe,Papua New Guinea
LGA,LaGuardia Airport,"New York City, New York",United States
LUD,Luderitz Airport (Diaz POINT Airport),Luderitz,Namibia
MHC,Mocopulli Airport,"Castro, Los Lagos",Chile
MSH,Masirah Air Base,Masirah Island,Oman
NJK,NAF El Centro,"El Centro, California",United States
OTC,Bol Airport,Bol,Chad
PQT,Qeqertaq Heliport,Qeqertaq,Greenland
RKC,Montague Airport (Yreka Rohrer Field),"Montague, California",United States
SJC,San Jose International Airport,"San Jose, California",United States
SZL,Whiteman Air Force Base,"Knob Noster, Missouri",United States
TUC,Teniente General Benjamín Matienzo International Airport,San Miguel de Tucumán,Argentina
VRI,Varandey Airport,Nenets Autonomous Okrug,Russia
YAH,La Grande-4 Airport,Northern Quebec,Canada
YOT,Yotvata Airport,Yotvata,Israel
ZJN,Swan River Airport,"Swan River, Manitoba",Canada
ACI,Alderney Airport,"Alderney, Channel Islands",United Kingdom
AOU,Attopeu Airport,Attopeu,Laos
BBZ,Zambezi Airport,Zambezi,Zambia
BMK,Borkum Airport,"Borkum, Lower Saxony",Germany
BYA,Boundary Airport,"Boundary, Alaska",United States
CJM,Chumphon Airport,Chumphon,Thailand
CVJ,General Mariano Matamoros Airport,"Cuernavaca, Morelos",Mexico
DOV,Dover Air Force Base,"Dover, Delaware",United States
EPR,Esperance Airport,Esperance,Australia
FRT,Frutillar Airport,Frutillar,Chile
GOS,Gosford Airport,"Gosford, New South Wales",Australia
HJT,Khujirt Airport,"Khujirt, Övörkhangai",Mongolia
IIA,Inishmaan Airport,Inishmaan,Ireland
JGN,Jiayuguan Airport,"Jiayuguan, Gansu",China
KET,Kengtung Airport,Kengtung,Myanmar (Burma)
KSC,Košice Airport (Barca Airport),Košice,Slovakia
LGB,Long Beach Airport,"Long Beach, California",United States
LUE,Lu?enec Airport,Lu?enec,Slovakia
MHD,Mashhad International Airport (Shahid Hashemi Nejad Airport),"Mashhad, Razavi Khorasan Province",Iran
MSJ,Misawa Air Base,"Misawa, Aomori",Japan
NKC,Nouakchott International Airport,Nouakchott,Mauritania
OTD,Contadora Airport,Contadora Island,Panama
PRA,GENERAL Justo José de Urquiza Airport,"Paraná, Entre Ríos",Argentina
RKD,Knox County Regional Airport,"Rockland, Maine",United States
SJD,Los Cabos International Airport,Los Cabos,Mexico
SZN,Santa Cruz Island Airport,"Santa Barbara, California",United States
TUD,Tambacounda Airport,Tambacounda,Senegal
VRK,Varkaus Airport,Joroinen,Finland
YAI,General Bernardo O'Higgins Airport,"Chillán, Ñuble",Chile
YOW,Ottawa/Macdonald-Cartier International Airport,"Ottawa, Ontario",Canada
ZKB,Kasaba Bay Airport,Kasaba Bay,Zambia
ACJ,SLAF Anuradhapura,Anuradhapura,Sri Lanka
APA,Centennial Airport,"Arapahoe County, Colorado",United States
BCA,Gustavo Rizo Airport,Baracoa,Cuba
BML,Berlin Regional Airport,"Berlin, New Hampshire",United States
BYB,Dibba Airport,Dibba,Oman
CJS,Abraham González International Airport,"Ciudad Juárez, Chihuahua",Mexico
CVL,Cape Vogel Airport,Cape Vogel,Papua New Guinea
DOX,Dongara Airport,"Dongara, Western Australia",Australia
EPS,Arroyo Barril International Airport,Samaná,Dominican Republic
FRU,Manas International Airport,Bishkek,Kyrgyzstan
GOT,Gothenburg-Landvetter Airport,Gothenburg,Sweden
HKA,Blytheville Municipal Airport,"Blytheville, Arkansas",United States
IIN,Nishinoomote Airport,"Nishinoomote, Osumi Islands",Japan
JGO,Qeqertarsuaq Heliport,Qeqertarsuaq,Greenland
KEV,Halli Airport,Kuorevesi,Finland
KSD,Karlstad Airport,Karlstad,Sweden
LGC,LaGrange-Callaway Airport,"LaGrange, Georgia",United States
LUF,Luke Air FORCE Base,"Glendale, Arizona",United States
MHE,Mitchell Municipal Airport,"Mitchell, South Dakota",United States
MSL,Northwest Alabama Regional Airport,"Muscle Shoals, Alabama",United States
NKG,Nanjing Lukou International Airport,Nanjing,China
OTG,Worthington Municipal Airport,"Worthington, Minnesota",United States
PRB,Paso Robles Municipal Airport,"Paso Robles, California",United States
RKE,Roskilde Airport,Roskilde,Denmark
SJE,Jorge Enrique González Airport,San José del Guaviare,Colombia
SZP,Santa Paula Airport,"Santa Paula, California",United States
TUF,Tours Val de Loire Airport,Tours,France
VRL,Vila Real Airport,Vila Real,Portugal
YAJ,Lyall Harbour Airport,"Lyall Harbour, British Columbia",Canada
YOY,CFB Valcartier,"Valcartier, Québec",Canada
ZKE,Kashechewan Airport,"Kashechewan, Ontario",Canada
ACK,Nantucket Memorial Airport,"Nantucket, Massachusetts",United States
APB,Apolo Airport,"Apolo, La Paz",Bolivia
BCB,Virginia Tech Montgomery Executive Airport,"Blacksburg, Virginia",United States
BMM,Bitam Airport,Bitam,Gabon
BYC,Yacuiba Airport,Yacuiba,Bolivia
CJT,Copalar Airport,"Comitán, Chiapas",Mexico
CVM,General Pedro J. Méndez National Airport,"Ciudad Victoria, Tamaulipas",Mexico
DPA,Dupage Airport,"West Chicago, Illinois",United States
EPT,Eliptamin Airport,Eliptamin,Papua New Guinea
FRW,Francistown Airport,Francistown,Botswana
GOU,Garoua International Airport,Garoua,Cameroon
HKB,Healy Lake Airport,"Healy Lake, Alaska",United States
IIS,Nissan Island Airport,Nissan Island,Papua New Guinea
JGP,Greenway Plaza Heliport,"Houston, Texas",United States
KEW,Keewaywin Airport (TC LID: CPV8),"Keewaywin, Ontario",Canada
KSE,Kasese Airport,Kasese,Uganda
LGD,La Grande/Union County Airport,"La Grande, Oregon",United States
LUG,Lugano Airport,"Lugano, Agno",Switzerland
MHF,Morichal Airport,Morichal,Colombia
MSM,Masi Manimba Airport,Masi Manimba,Democratic Republic of the Congo
NKL,Nkolo Airport,Nkolo,Democratic Republic of the Congo
OTH,North Bend Municipal Airport,"North Bend, Oregon",United States
PRC,Ernest A.Love Field,"Prescott, Arizona",United States
RKI,Rokot Airport,Sipura,Indonesia
SJI,San Jose Airport,"San Jose, Occidental Mindoro",Philippines
SZQ,Sáenz Peña Airport,"Sáenz Peña, Buenos Aires",Argentina
TUG,Tuguegarao Airport,"Tuguegarao City, Cagayan",Philippines
VRN,Verona Airport,Verona,Italy
YAK,Yakutat Airport,"Yakutat, Alaska",United States
YPA,Prince Albert (Glass Field) Airport,"Prince Albert, Saskatchewan",Canada
ZKG,Kegaska Airport,"Kegaska, Quebec",Canada
ACL,Cesar Airport,Aguaclara,Colombia
APC,Napa County Airport,"Napa, California",United States
BCC,Bear Creek 3 Airport,"Bear Creek, Alaska",United States
BMN,Bamarni Airport,Bamarni,Iraq
BYD,Beidah Airport,Beidah,Yemen
CJU,Jeju International Airport,Jeju,South Korea
CVN,Clovis Municipal Airport,"Clovis, New Mexico",United States
DPE,St-Aubin Airport,Dieppe,France
EPU,Pärnu Airport,Pärnu,Estonia
FRY,Eastern Slopes Regional Airport,"Fryeburg, Maine",United States
GOV,Nhulunbuy Airport,"Gove, Northern Territory",Australia
HKD,Hakodate Airport,"Hakodate, Hokkaid?",Japan
IJK,Izhevsk Airport,"Izhevsk, Udmurt Republic",Russia
JGQ,Transco Tower Garage Heliport,"Houston, Texas",United States
KEX,Kanabea Airport,Kanabea,Papua New Guinea
KSF,Kassel Calden Airport,"Kassel, Hesse",Germany
LGE,Lake Gregory Airport,"Lake Gregory, Western Australia",Australia
LUH,Ludhiana Airport,Ludhiana,India
MHG,Mannheim City Airport,Mannheim,Germany
MSN,Dane County Regional Airport (Truax Field),"Madison, Wisconsin",United States
NKM,Nagoya Airfield,Nagoya,Japan
OTL,Boutilimit Airport,Boutilimit,Mauritania
PRG,Václav Havel Airport Prague,Prague,Czech Republic
RKP,Aransas County Airport,"Rockport, Texas",United States
SJJ,Sarajevo International Airport,Sarajevo,Bosnia and Herzegovina
SZR,Stara Zagora Airport,Stara Zagora,Bulgaria
TUL,Tulsa International Airport,"Tulsa, Oklahoma",United States
VRO,Kawama Airport,"Varadero, Matanzas Province",Cuba
YAL,Alert Bay Airport,British Columbia,Canada
YPB,Alberni Valley Regional Airport,"Port Alberni, British Columbia",Canada
ZKL,Bintuni Airport (Steenkool Airport),Bintuni,Indonesia
ACM,Arica Airport,"Arica, Amazonas",Colombia
APE,San Juan Aposento Airport,San Juan Aposento,Peru
BCD,New Bacolod-Silay Airport,Bacolod City,Philippines
BMO,Bhamo Airport,Bhamo,Myanmar (Burma)
BYG,Johnson County Airport,"Buffalo, Wyoming",United States
CKA,Kegelman Air Force Auxiliary Field,"Cherokee, Oklahoma",United States
CVO,Corvallis Municipal Airport,"Corvallis, Oregon",United States
DPG,Michael Army Airfield,"Dugway Proving Ground, Utah",United States
EQS,Esquel Airport,"Esquel, Chubut Province",Argentina
FRZ,Fritzlar Air Base,"Fritzlar, Hessen",Germany
GOZ,Gorna Oryahovitsa Airport,Gorna Oryahovitsa,Bulgaria
HKG,Hong Kong International Airport (succeeded Kai Tak Airport),Chek Lap Kok,Hong Kong
IJU,Ijuí Airport (J. Batista Bos Filho Airport),"Ijuí, Rio Grande do Sul",Brazil
JGR,Kangilinnguit Heliport (Grønnedal Heliport),Kangilinnguit (Grønnedal),Greenland
KEY,Kericho Airport,Kericho,Kenya
KSG,Kisengan Airport,Kisengan,Papua New Guinea
LGF,Laguna Army Airfield,"Yuma Proving Ground, Arizona",United States
LUI,La Unión Airport,La Unión,Honduras
MHH,Marsh Harbour Airport,Marsh Harbour,Bahamas
MSO,Missoula International Airport,"Missoula, Montana",United States
NKT,??rnak Airport,Cizre,Turkey
OTM,Ottumwa Industrial Airport,"Ottumwa, Iowa",United States
PRH,Phrae Airport,Phrae,Thailand
RKR,Robert S.Kerr Airport,"Poteau, Oklahoma",United States
SJK,São José dos Campos Regional Airport,São José dos Campos,Brazil
SZS,Ryans Creek Aerodrome,Stewart Island,New Zealand
TUN,Tunis–Carthage International Airport,Tunis / Carthage,Tunisia
VRS,Roy Otten Memorial Airfield,"Versailles, Missouri",United States
YAM,Sault Ste. Marie Airport,"Sault Ste. Marie, Ontario",Canada
YPC,Paulatuk Airport,"Paulatuk, Northwest Territories",Canada
ZKM,Sette Cama Airport,Sette Cama,Gabon
ACN,Ciudad Acuña International Airport,"Ciudad Acuña, Coahuila",Mexico
APF,Naples Municipal Airport,"Naples, Florida",United States
BCE,Bryce Canyon Airport,"Bryce Canyon, Utah",United States
BMP,Brampton Island Airport,"Brampton Island, Queensland",Australia
BYH,Arkansas International Airport,"Blytheville, Arkansas",United States
CKB,North Central West Virginia Airport,"Clarksburg, West Virginia",United States
CVQ,Carnarvon Airport,"Carnarvon, Western Australia",Australia
DPL,Dipolog Airport,"Dipolog City, Zamboanga del Norte",Philippines
ERA,Erigavo Airport,Erigavo,Somalia
FSC,Sud Corse Airport,"Figari, Corsica",France
GPA,Araxos Airport,Araxos / Patras,Greece
HKK,Hokitika Airport,Hokitika,New Zealand
IJX,Jacksonville Municipal Airport (not Imeson Field),"Jacksonville, Illinois",United States
JGS,Jinggangshan Airport,"Ji'an, Jiangxi",China
KEZ,Ali Al Salem Airport,Ali Al Salem,Kuwait
KSH,Shahid Ashrafi Esfahani Airport (Kermanshah Airport),Kermanshah,Iran
LGG,Liège Airport (Bierset Airport),"Liège, Wallonia",Belgium
LUK,Cincinnati Municipal Airport (Lunken Field),"Cincinnati, Ohio",United States
MHI,Moucha Airport,Moucha Island,Djibouti
MSP,Minneapolis–Saint Paul International Airport (Wold-Chamberlain Field),"Bloomington, Minnesota",United States
NKX,MCAS Miramar,"San Diego, California",United States
OTN,Ed-Air Airport,"Oaktown, Indiana",United States
PRI,Praslin Island Airport,Praslin Island,Seychelles
RKS,Rock Springs – Sweetwater County Airport,"Rock Springs, Wyoming",United States
SJN,St.Johns Industrial Air Park,"St.Johns, Arizona",United States
SZT,San Cristóbal de las Casas National Airport,Chiapas,Mexico
TUO,Taupo Airport,Taupo,New Zealand
VRY,Værøy Heliport,"Værøy, Nordland",Norway
YAN,Yangambi Airport,Yangambi,Democratic Republic of the Congo
YPD,Parry Sound Area Municipal Airport,"Parry Sound, Ontario",Canada
ZKP,Zyryanka Airport,"Zyryanka, Verkhnekolymsky District, Sakha Republic",Russia
ACR,Araracuara Airport,Araracuara,Colombia
APG,Phillips Army Airfield,"Aberdeen Proving Ground, Maryland",United States
BCF,Bouca Airport,Bouca,Central African Republic
BMQ,Bamburi Airport,Bamburi,Kenya
BYI,Burley Municipal Airport,"Burley, Idaho",United States
CKC,Cherkasy Airport,Cherkasy,Ukraine
CVS,Cannon Air Force Base,"Clovis, New Mexico",United States
DPO,Devonport Airport,"Devonport, Tasmania",Australia
ERB,Pukatja Airport (Ernabella Airport),"Pukatja, South Australia",Australia
FSD,Sioux Falls Regional Airport (Joe Foss Field),"Sioux Falls, South Dakota",United States
GPB,Tancredo Thomas de Farias Airport,"Guarapuava, Paraná",Brazil
HKN,Kimbe Airport,Hoskins,Papua New Guinea
IKA,Tehran Imam Khomeini International Airport,Tehran,Iran
JGX,Glendale Heliport,"Glendale, California",United States
